INPUT_FILE,DIMENSIONS,SEED,PARAM_SET,SAMPLING_TIME,FITNESS,SOLUTION,ELAPSED_TIME
../../data/output_uniformly_accelerated.csv,8,3,0,2,0.465797,"38541.636217378036 37371.64602974296 9.97103543451134 8.078522073282102 0.009914308607434369 0.009547927038975402 4.694078837926475e-05 8.37076411343536e-05",157.26
../../data/output_uniformly_accelerated.csv,8,4,0,2,0.473302,"39028.85671400035 38747.600180321344 9.48630507690105 8.519336971844316 0.007209723550577878 0.0006652752761405374 5.388791786835281e-05 9.79462902639613e-05",159.89
../../data/output_uniformly_accelerated.csv,8,5,0,2,0.451684,"38073.16937421404 37346.99134343063 9.795748787561417 8.410031469080606 0.007355857128268818 0.0036409167070121876 5.2052954646568186e-05 9.244697403937704e-05",158.36
../../data/output_uniformly_accelerated.csv,8,6,0,2,0.480257,"39083.29096448481 38933.37861172997 9.964035120201185 6.7838786085541525 0.009702877636752953 0.009655967281488613 5.535701173190403e-05 9.536329841395844e-05",158.14
../../data/output_uniformly_accelerated.csv,8,7,0,2,0.489046,"39283.28687494177 38420.019578106214 8.11552921160652 9.248592421352722 0.00863487578720225 -0.0019342289369244856 5.216937620719309e-05 9.892594922300173e-05",157.90
../../data/output_uniformly_accelerated.csv,8,8,0,2,0.451114,"38007.41647076749 37826.9239038285 8.932761542172777 5.850796411238399 -0.00025845797353046124 0.0009120046474270643 5.590217225585516e-05 8.916678003865595e-05",158.86
../../data/output_uniformly_accelerated.csv,8,9,0,2,0.467365,"39753.357721192246 39026.942009039994 9.86916002061275 5.0655665576318585 0.0026306652937584368 0.008788278867674955 5.929930633902774e-05 9.277927303994383e-05",153.33
../../data/output_uniformly_accelerated.csv,8,10,0,2,0.424341,"36304.41159603724 36631.530176304805 9.54449443295006 6.022765056326715 0.006318004627279531 0.005285202856021741 4.429383706072155e-05 7.87316173123101e-05",158.07
../../data/real_world_example.csv,4,1,1,9.846666667,3.525967,"-419984.98201665096 4858822.109502839 9.540616478283644 1.3072551091166207",106.79
../../data/real_world_example.csv,4,2,1,9.846666667,1.179842,"-399569.21473808127 4873296.940411439 9.604944451014319 1.1606951652292163",112.58
../../data/real_world_example.csv,4,3,1,9.846666667,2.474349,"-441815.60798033985 4786884.365849854 8.346894581805119 3.469746779532363",105.96
../../data/real_world_example.csv,4,4,1,9.846666667,3.842151,"-430764.5937792771 4785831.36696163 4.903246986685407 1.521082020797331",109.60
../../data/real_world_example.csv,4,5,1,9.846666667,1.668106,"-413706.38099181943 4848245.661114971 8.503407934566585 0.5471671995352378",106.37
../../data/real_world_example.csv,4,6,1,9.846666667,1.400095,"-420880.6854726918 4831769.939879684 9.085114235930188 1.9709147969150942",106.92
../../data/real_world_example.csv,4,7,1,9.846666667,1.552409,"-418778.2035038229 4849744.780645817 7.955886517108373 0.34592471560064353",112.11
