INPUT_FILE,DIMENSIONS,SEED,SAMPLING_TIME,PARAM_SET,FITNESS,SOLUTION,ELAPSED_TIME
../../data/real_world_example.csv,6,8,9.846666667,1,0.348886,"-425900 4.80892e+06 8.22014 8.00806 0.000717847 -0.000136999",7.23177
../../data/real_world_example.csv,6,9,9.846666667,1,0.339733,"-422636 4.82428e+06 9.92049 8.99661 0.000940837 -4.44846e-06",6.96511
../../data/real_world_example.csv,6,10,9.846666667,1,0.312029,"-429555 4.80269e+06 8.73577 9.71445 0.000954523 -7.23634e-05",7.72016
../../data/real_world_example.csv,8,1,9.846666667,1,0.898306,"-348121 4.99704e+06 8.68698 9.14254 0.00044717 -0.000688923 1.8074e-06 1.28712e-06",8.76288
../../data/real_world_example.csv,8,2,9.846666667,1,3.48223,"-396304 4.86339e+06 2.75492 9.75 0.000531179 -4.07336e-05 3.62632e-06 2.62e-06",8.49526
../../data/real_world_example.csv,8,3,9.846666667,1,2.42824,"-363800 4.93506e+06 6.39002 7.92656 0.000847495 -0.000467505 8.31968e-07 6.40001e-07",8.62148
../../data/real_world_example.csv,8,4,9.846666667,1,1.27773,"-362233 4.991e+06 9.71473 2.48188 0.000829573 -0.000579 1.36696e-06 1.12053e-06",8.57563
../../data/real_world_example.csv,8,5,9.846666667,1,2.16741,"-352214 4.958e+06 8.14382 4.25898 0.000712 -0.000422 8.1799e-08 3.99996e-08",8.35079
../../data/real_world_example.csv,8,6,9.846666667,1,3.0648,"-372359 4.94488e+06 9.64681 9.09941 0.000925344 -0.000328057 2.97489e-06 2.36716e-06",8.72154
../../data/real_world_example.csv,8,7,9.846666667,1,3.71655,"-341000 4.9929e+06 0.7 5.39592 0.000114 -0.000924 5.33573e-06 3.95736e-06",8.63522
../../data/real_world_example.csv,8,8,9.846666667,1,3.55971,"-374297 4.96262e+06 8.27 7.8428 0.000390978 -0.000278939 4.4497e-06 3.66273e-06",8.32684
../../data/real_world_example.csv,8,9,9.846666667,1,2.69737,"-356181 4.92575e+06 5.14007 7.8867 0.000548 -0.000300747 1.43528e-06 9.04666e-07",8.69045
../../data/real_world_example.csv,8,10,9.846666667,1,2.41804,"-335456 4.9602e+06 1.42091 6.61875 0.000449896 -0.000680634 2.15174e-06 1.49996e-06",8.53936
